UKBPPP ProteinID,Olink ID,Assay Target,Protein panel,Gene symbol,UniProt,Gene CHROM,Gene start,Gene end,Dilution factor,% of samples below LOD,Coefficient of variation (median %),% of data failing QC,ICC (interclass correlation) of sample age 
JAM2:P57087:OID21064:v1,OID21064,JAM2,Neurology,JAM2,P57087,21,25639258,25717562,1:10,0.03%,4.45,0.00%,0.014456
JAM3:Q9BX67:OID30586:v1,OID30586,JAM3,Inflammation_II,JAM3,Q9BX67,11,134069071,134152001,1:10,0.08%,9.28,0.00%,0.024922
JCHAIN:P01591:OID20494:v1,OID20494,JCHAIN,Inflammation,JCHAIN,P01591,4,70655541,70681817,1:01,27.43%,14.81,0.00%,0.002468
JMJD1C:Q15652:OID31172:v1,OID31172,JMJD1C,Oncology_II,JMJD1C,Q15652,10,63167221,63521850,1:01,84.17%,7.72,0.00%,0.002103
JPT2:Q9H910:OID31520:v1,OID31520,JPT2,Oncology_II,JPT2,Q9H910,16,1678256,1702280,1:01,0.09%,6.11,0.00%,0.082706
JUN:P05412:OID20424:v1,OID20424,JUN,Inflammation,JUN,P05412,1,58776845,58784048,1:01,75.46%,8.41,0.00%,0.006907
KAZALD1:Q96I82:OID21339:v1,OID21339,KAZALD1,Oncology,KAZALD1,Q96I82,10,101061989,101068131,1:01,0.03%,5.3,0.00%,0.001928
KAZN:Q674X7:OID31481:v1,OID31481,KAZN,Oncology_II,KAZN,Q674X7,1,13892792,15118043,1:01,0.51%,6.41,0.00%,0.113404
KCNC4:Q03721:OID30813:v1,OID30813,KCNC4,Neurology_II,KCNC4,Q03721,1,110210314,110283100,1:01,72.23%,6.65,0.00%,0.002176
KCNH2:Q12809:OID30899:v1,OID30899,KCNH2,Neurology_II,KCNH2,Q12809,7,150944961,150978321,1:01,79.47%,5.18,0.00%,0.002166
KCNIP4:Q6PIL6:OID20813:v1,OID20813,KCNIP4,Neurology,KCNIP4,Q6PIL6,4,20728606,21948772,1:01,86.71%,7.76,0.00%,0.003555
KCTD5:Q9NXV2:OID31148:v1,OID31148,KCTD5,Neurology_II,KCTD5,Q9NXV2,16,2682523,2709030,1:01,0.19%,6.4,1.65%,0.040834
KDM3A:Q9Y4C1:OID30426:v1,OID30426,KDM3A,Inflammation_II,KDM3A,Q9Y4C1,2,86440647,86492716,1:01,81.50%,6.69,0.00%,0.002625
KDR:P35968:OID21497:v1,OID21497,KDR,Oncology,KDR,P35968,4,55078481,55125595,1:10,0.02%,4.36,0.00%,0.005334
KEL:P23276:OID20881:v1,OID20881,KEL,Neurology,KEL,P23276,7,142941114,142962363,1:01,0.04%,7.37,0.00%,0.03126
KHDC3L:Q587J8:OID31245:v1,OID31245,KHDC3L,Oncology_II,KHDC3L,Q587J8,6,73362658,73364171,1:01,78.43%,7.36,0.00%,0.003234
KHK:P50053:OID30241:v1,OID30241,KHK,Cardiometabolic_II,KHK,P50053,2,27086747,27100762,1:01,0.04%,4.58,0.00%,0.022636
KIAA0319:Q5VV43:OID31094:v1,OID31094,KIAA0319,Neurology_II,KIAA0319,Q5VV43,6,24544104,24646191,1:01,0.06%,5.87,0.00%,0.007304
KIAA1549:Q9HCM3:OID31307:v1,OID31307,KIAA1549,Oncology_II,KIAA1549,Q9HCM3,7,138831381,138981389,1:01,80.35%,12.91,0.00%,0.004222
KIAA1549L:Q6ZVL6:OID31312:v1,OID31312,KIAA1549L,Oncology_II,KIAA1549L,Q6ZVL6,11,33376108,33674102,1:01,98.53%,7.67,0.00%,0.004063
KIAA2013:Q8IYS2:OID31392:v1,OID31392,KIAA2013,Oncology_II,KIAA2013,Q8IYS2,1,11919591,11926428,1:01,57.75%,6.01,0.00%,0.003644
KIF1C:O43896:OID30163:v1,OID30163,KIF1C,Cardiometabolic_II,KIF1C,O43896,17,4997950,5028401,1:01,5.74%,6.76,0.00%,0.016646
KIF20B:Q96Q89:OID30816:v1,OID30816,KIF20B,Neurology_II,KIF20B,Q96Q89,10,89701590,89774939,1:01,56.57%,13.08,0.00%,0.003265
KIF22:Q14807:OID30175:v1,OID30175,KIF22,Cardiometabolic_II,KIF22,Q14807,16,29790727,29805385,1:01,7.46%,12.02,0.00%,0.029409
KIFBP:Q96EK5:OID21320:v1,OID21320,KIFBP,Oncology,KIFBP,Q96EK5,10,68988803,69043544,1:01,0.21%,8.98,0.00%,0.073003
KIR2DL2:P43627:OID31431:v1,OID31431,KIR2DL2,Oncology_II,KIR2DL2,P43627,19,54754693,54769187,1:01,0.17%,9.17,0.00%,0.003341
KIR2DL3:P43628:OID21196:v1,OID21196,KIR2DL3,Oncology,KIR2DL3,P43628,19,54738513,54753052,1:01,0.51%,8.79,0.00%,0.003579
KIR2DS4:P43632:OID31432:v1,OID31432,KIR2DS4,Oncology_II,KIR2DS4,P43632,19,54832676,54848569,1:01,34.28%,4.8,0.00%,0.004648
KIR3DL1:P43629:OID21185:v1,OID21185,KIR3DL1,Oncology,KIR3DL1,P43629,19,54816468,54830778,1:01,27.15%,11.29,0.00%,0.003712
KIR3DL2:P43630:OID31191:v1,OID31191,KIR3DL2,Oncology_II,KIR3DL2,P43630,19,54850443,54867207,1:01,35.05%,7.2,0.00%,0.000901
KIRREL1:Q96J84:OID30806:v1,OID30806,KIRREL1,Neurology_II,KIRREL1,Q96J84,1,157993273,158100262,1:01,79.68%,6.31,0.00%,0.002063
KIRREL2:Q6UWL6:OID20873:v1,OID20873,KIRREL2,Neurology,KIRREL2,Q6UWL6,19,35855861,35867136,1:01,1.06%,10.76,0.00%,0.003504
KIT:P10721:OID20370:v1,OID20370,KIT,Cardiometabolic,KIT,P10721,4,54657267,54740783,0.736111111,0.03%,5.11,0.45%,0.005334
KITLG:P21583:OID20196:v1,OID20196,KITLG,Cardiometabolic,KITLG,P21583,12,88492793,88580851,1:10,0.04%,6.08,0.00%,0.00385
KLB:Q86Z14:OID20888:v1,OID20888,KLB,Neurology,KLB,Q86Z14,4,39406930,39451533,1:01,17.63%,10.19,0.00%,0.003893
KLF4:O43474:OID30808:v1,OID30808,KLF4,Neurology_II,KLF4,O43474,9,107484852,107490482,1:01,9.21%,10.51,0.00%,0.042803
KLHL41:O60662:OID30986:v1,OID30986,KLHL41,Neurology_II,KLHL41,O60662,2,169509702,169526258,1:01,18.05%,9.05,0.00%,0.002514
KLK1:P06870:OID21499:v1,OID21499,KLK1,Oncology,KLK1,P06870,19,50819146,50823787,1:10,0.15%,4.9,1.35%,0.003013
KLK10:O43240:OID21523:v1,OID21523,KLK10,Oncology,KLK10,O43240,19,51012739,51020175,1:10,0.03%,9.36,0.30%,0.006667
KLK11:Q9UBX7:OID21518:v1,OID21518,KLK11,Oncology,KLK11,Q9UBX7,19,51022216,51028039,1:10,0.04%,4.88,0.90%,0.00353
KLK12:Q9UKR0:OID21201:v1,OID21201,KLK12,Oncology,KLK12,Q9UKR0,19,51029092,51035230,1:01,33.38%,6.92,0.00%,0.00317
KLK13:Q9UKR3:OID21291:v1,OID21291,KLK13,Oncology,KLK13,Q9UKR3,19,51055626,51065114,1:01,0.05%,4.37,1.80%,0.00932
KLK14:Q9P0G3:OID21407:v1,OID21407,KLK14,Oncology,KLK14,Q9P0G3,19,51077495,51084245,1:01,0.04%,6.59,0.00%,0.008563
KLK15:Q9H2R5:OID31427:v1,OID31427,KLK15,Oncology_II,KLK15,Q9H2R5,19,50825289,50837213,1:01,0.79%,7.39,0.15%,0.001584
KLK3:P07288:OID30364:v1,OID30364,KLK3,Cardiometabolic_II,KLK3,P07288,19,50854915,50860764,0.111111111,45.23%,5.53,0.15%,0.008606
KLK4:Q9Y5K2:OID21391:v1,OID21391,KLK4,Oncology,KLK4,Q9Y5K2,19,50906351,50911395,1:01,0.03%,3.3,0.00%,0.0023
KLK6:Q92876:OID21526:v1,OID21526,KLK6,Oncology,KLK6,Q92876,19,50958631,50969673,1:10,0.03%,5.25,0.15%,0.024106
KLK7:P49862:OID30652:v1,OID30652,KLK7,Inflammation_II,KLK7,P49862,19,50976468,50984099,1:10,0.72%,5.94,2.25%,0.009698
KLK8:O60259:OID21517:v1,OID21517,KLK8,Oncology,KLK8,O60259,19,50996007,51002711,1:10,0.03%,4.56,3.45%,0.01468
KLKB1:P03952:OID30760:v1,OID30760,KLKB1,Inflammation_II,KLKB1,P03952,4,186226438,186258471,1:100000,0.07%,4.54,1.65%,0.004212
KLRB1:Q12918:OID20629:v1,OID20629,KLRB1,Inflammation,KLRB1,Q12918,12,9594551,9607916,1:01,0.01%,3.04,0.00%,0.003795
KLRC1:P26715:OID30855:v1,OID30855,KLRC1,Neurology_II,KLRC1,P26715,12,10442264,10454685,1:01,63.16%,9,0.00%,0.003405
KLRD1:Q13241:OID20632:v1,OID20632,KLRD1,Inflammation,KLRD1,Q13241,12,10226058,10329608,1:01,0.02%,3.43,0.00%,0.003012
KLRF1:Q9NZS2:OID30464:v1,OID30464,KLRF1,Inflammation_II,KLRF1,Q9NZS2,12,9827481,9845007,1:01,0.09%,6.27,0.00%,0.004403
KLRK1:P26718:OID31082:v1,OID31082,KLRK1,Neurology_II,KLRK1,P26718,12,10372353,10391874,1:01,0.04%,6.67,0.00%,0.001712
KRT14:P02533:OID20800:v1,OID20800,KRT14,Neurology,KRT14,P02533,17,41582279,41586895,1:01,96.27%,19.86,3.14%,0.004685
KRT17:Q04695:OID30092:v1,OID30092,KRT17,Cardiometabolic_II,KRT17,Q04695,17,41619442,41624842,1:01,93.63%,12.33,0.00%,0.003526
KRT18:P05783:OID21296:v1,OID21296,KRT18,Oncology,KRT18,P05783,12,52948871,52952906,1:01,0.01%,6.75,0.00%,0.0059
KRT19:P08727:OID20596:v1,OID20596,KRT19,Inflammation,KRT19,P08727,17,41523617,41528308,1:01,0.03%,10.2,0.15%,0.001294
KRT5:P13647:OID20860:v1,OID20860,KRT5,Neurology,KRT5,P13647,12,52514575,52520530,1:01,14.64%,12.74,0.00%,0.018115
KRT6C:P48668:OID30169:v1,OID30169,KRT6C,Cardiometabolic_II,KRT6C,P48668,12,52468516,52473805,1:01,97.52%,7.69,0.00%,0.003978
KRT8:P05787:OID30865:v1,OID30865,KRT8,Neurology_II,KRT8,P05787,12,52897187,52949954,1:01,69.70%,9.29,0.00%,0.004354
KYAT1:Q16773:OID20232:v1,OID20232,KYAT1,Cardiometabolic,KYAT1,Q16773,9,128832942,128882494,1:10,0.04%,6.78,0.15%,0.064429
KYNU:Q16719:OID20669:v1,OID20669,KYNU,Inflammation,KYNU,Q16719,2,142877657,143055833,1:01,0.02%,3.33,0.00%,0.010812
L1CAM:P32004:OID21484:v1,OID21484,L1CAM,Oncology,L1CAM,P32004,X,153861514,153886173,1:10,0.04%,4.74,0.00%,0.010681
L3HYPDH:Q96EM0:OID30314:v1,OID30314,L3HYPDH,Cardiometabolic_II,L3HYPDH,Q96EM0,14,59460363,59484408,1:10,0.15%,16.51,0.00%,0.041448
LACRT:Q9GZZ8:OID31367:v1,OID31367,LACRT,Oncology_II,LACRT,Q9GZZ8,12,54630811,54634895,1:01,7.18%,6.37,0.30%,0.010146
LACTB2:Q53H82:OID20150:v1,OID20150,LACTB2,Cardiometabolic,LACTB2,Q53H82,8,70635318,70669185,1:10,0.06%,6.3,0.00%,0.077403
LAG3:P18627:OID21315:v1,OID21315,LAG3,Oncology,LAG3,P18627,12,6772512,6778455,1:01,0.04%,5.83,0.00%,0.003454
LAIR1:Q6GTX8:OID20737:v1,OID20737,LAIR1,Inflammation,LAIR1,Q6GTX8,19,54351384,54370558,1:10,0.01%,4.01,0.45%,0.003128
LAIR2:Q6ISS4:OID20965:v1,OID20965,LAIR2,Neurology,LAIR2,Q6ISS4,19,54497879,54510687,1:01,2.14%,5.75,0.00%,0.001838
LAMA1:P25391:OID30057:v1,OID30057,LAMA1,Cardiometabolic_II,LAMA1,P25391,18,6941742,7117797,1:01,93.55%,5.11,0.00%,0.003364
LAMA4:Q16363:OID20769:v1,OID20769,LAMA4,Inflammation,LAMA4,Q16363,6,112107931,112254939,1:10,0.02%,4.5,0.00%,0.008138
LAMB1:P07942:OID30280:v1,OID30280,LAMB1,Cardiometabolic_II,LAMB1,P07942,7,107923799,108003213,1:01,0.05%,5.13,0.00%,0.002165
LAMP1:P11279:OID30416:v1,OID30416,LAMP1,Cardiometabolic_II,LAMP1,P11279,13,113297239,113323672,0.111111111,0.64%,5.9,2.55%,0.006519
LAMP2:P13473:OID21035:v1,OID21035,LAMP2,Neurology,LAMP2,P13473,X,120426148,120469365,1:10,0.18%,4.65,3.60%,0.003907
LAMP3:Q9UQV4:OID20638:v1,OID20638,LAMP3,Inflammation,LAMP3,Q9UQV4,3,183122215,183163839,1:01,0.02%,4.02,0.15%,0.005616
LAMTOR5:O43504:OID31396:v1,OID31396,LAMTOR5,Oncology_II,LAMTOR5,O43504,1,110401249,110407942,1:01,19.88%,11.05,0.00%,0.022183
LAP3:P28838:OID20436:v1,OID20436,LAP3,Inflammation,LAP3,P28838,4,17577198,17607972,1:01,5.72%,10.75,0.00%,0.03584
LARP1:Q6PKG0:OID31372:v1,OID31372,LARP1,Oncology_II,LARP1,Q6PKG0,5,154682986,154817605,1:01,28.41%,7.17,0.00%,0.054834
LAT:O43561:OID20640:v1,OID20640,LAT,Inflammation,LAT,O43561,16,28984826,28990784,1:01,0.02%,8.48,0.00%,0.051682
LAT2:Q9GZY6:OID21292:v1,OID21292,LAT2,Oncology,LAT2,Q9GZY6,7,74199652,74229834,1:01,0.03%,10.95,0.00%,0.111758
LATS1:O95835:OID30523:v1,OID30523,LATS1,Inflammation_II,LATS1,O95835,6,149658153,149718105,1:01,4.94%,10.46,0.00%,0.061578
LAYN:Q6UX15:OID20970:v1,OID20970,LAYN,Neurology,LAYN,Q6UX15,11,111540280,111561745,1:01,0.01%,6.3,0.15%,0.004731
LBP:P18428:OID20355:v1,OID20355,LBP,Cardiometabolic,LBP,P18428,20,38346482,38377013,0.736111111,0.10%,14.79,0.15%,0.003399
LBR:Q14739:OID21034:v1,OID21034,LBR,Neurology,LBR,Q14739,1,225401502,225428925,1:10,0.05%,7.12,0.00%,0.068102
LCAT:P04180:OID30677:v1,OID30677,LCAT,Inflammation_II,LCAT,P04180,16,67939750,67944131,0.736111111,0.07%,5.64,0.00%,0.006241
LCN15:Q6UWW0:OID31032:v1,OID31032,LCN15,Neurology_II,LCN15,Q6UWW0,9,136759634,136766255,1:01,0.16%,5.89,0.00%,0.002758
LCN2:P80188:OID20392:v1,OID20392,LCN2,Cardiometabolic,LCN2,P80188,9,128149071,128153453,0.736111111,0.44%,4.78,3.30%,0.012808
LCP1:P13796:OID30367:v1,OID30367,LCP1,Cardiometabolic_II,LCP1,P13796,13,46125920,46211871,0.111111111,0.07%,8.6,0.00%,0.004438
LDLR:P01130:OID20240:v1,OID20240,LDLR,Cardiometabolic,LDLR,P01130,19,11089462,11133820,0.111111111,0.03%,4.94,1.47%,0.004604
LDLRAP1:Q5SW96:OID31068:v1,OID31068,LDLRAP1,Neurology_II,LDLRAP1,Q5SW96,1,25543606,25568886,1:01,5.21%,12.39,0.00%,0.064944
LECT2:O14960:OID30320:v1,OID30320,LECT2,Cardiometabolic_II,LECT2,O14960,5,135922279,135954983,1:10,0.08%,6.93,0.00%,0.007527
LEFTY2:O00292:OID21454:v1,OID21454,LEFTY2,Oncology,LEFTY2,O00292,1,225936598,225941383,1:01,0.06%,6.54,0.15%,0.005217
LEG1:Q6P5S2:OID30608:v1,OID30608,LEG1,Inflammation_II,C6orf58,Q6P5S2,6,127519455,127591820,1:10,0.26%,5.03,3.01%,0.008411
LELP1:Q5T871:OID30845:v1,OID30845,LELP1,Neurology_II,LELP1,Q5T871,1,153203430,153205120,1:01,74.72%,10.78,0.00%,0.000833
LEO1:Q8WVC0:OID30991:v1,OID30991,LEO1,Neurology_II,LEO1,Q8WVC0,15,51938025,51971778,1:01,58.79%,4.7,0.00%,0.006817
LEP:P41159:OID20187:v1,OID20187,LEP,Cardiometabolic,LEP,P41159,7,128241278,128257629,1:10,0.19%,6.33,0.00%,0.003095
LEPR:P48357:OID20128:v1,OID20128,LEPR,Cardiometabolic,LEPR,P48357,1,65420652,65641559,1:10,0.05%,7.92,0.15%,0.003837
LETM1:O95202:OID31018:v1,OID31018,LETM1,Neurology_II,LETM1,O95202,4,1811479,1856156,1:01,4.69%,11.1,0.00%,0.030877
LGALS1:P09382:OID20154:v1,OID20154,LGALS1,Cardiometabolic,LGALS1,P09382,22,37675636,37679802,1:10,0.05%,6.9,0.00%,0.019399
LGALS3:P17931:OID20284:v1,OID20284,LGALS3,Cardiometabolic,LGALS3,P17931,14,55124110,55145423,0.111111111,0.08%,4.29,0.90%,0.00598
LGALS3BP:Q08380:OID30765:v1,OID30765,LGALS3BP,Inflammation_II,LGALS3BP,Q08380,17,78971238,78979947,1:100000,20.43%,5.01,0.00%,0.004396
LGALS4:P56470:OID20748:v1,OID20748,LGALS4,Inflammation,LGALS4,P56470,19,38801671,38812945,1:10,0.02%,4.75,0.45%,0.003611
LGALS7_LGALS7B:P47929:OID21406:v1,OID21406,LGALS7_LGALS7B,Oncology,LGALS7B;LGALS7,P47929;P47929,19;19,38789200;38770968,38791754;38773517,1:01,0.30%,4.81,1.05%,0.010912
LGALS8:O00214:OID21041:v1,OID21041,LGALS8,Neurology,LGALS8,O00214,1,236518000,236552981,1:10,0.04%,5.01,0.00%,0.06421
LGALS9:O00182:OID20781:v1,OID20781,LGALS9,Inflammation,LGALS9,O00182,17,27629798,27649560,1:10,0.02%,3.58,0.45%,0.00509
LGMN:Q99538:OID20773:v1,OID20773,LGMN,Inflammation,LGMN,Q99538,14,92703807,92748679,1:10,0.02%,4.81,0.00%,0.00721
LHB:P01229:OID21248:v1,OID21248,LHB,Oncology,LHB,P01229,19,49015980,49017091,1:01,5.46%,8.72,0.00%,0.00204
LHPP:Q9H008:OID20749:v1,OID20749,LHPP,Inflammation,LHPP,Q9H008,10,124461823,124617888,1:10,0.01%,5.95,0.30%,0.053271
LIF:P15018:OID20824:v1,OID20824,LIF,Neurology,LIF,P15018,22,30240453,30246759,1:01,74.51%,9.64,0.00%,0.002893
LIFR:P42702:OID20606:v1,OID20606,LIFR,Inflammation,LIFR,P42702,5,38474668,38608354,1:01,0.03%,6.69,0.00%,0.005233
LILRA2:Q8N149:OID21152:v1,OID21152,LILRA2,Neurology,LILRA2,Q8N149,19,54572920,54590287,0.111111111,0.03%,5.36,0.00%,0.004664
LILRA3:Q8N6C8:OID30376:v1,OID30376,LILRA3,Cardiometabolic_II,LILRA3,Q8N6C8,19,54294163,54306461,0.111111111,4.96%,4.12,0.00%,0.002724
LILRA4:P59901:OID30162:v1,OID30162,LILRA4,Cardiometabolic_II,LILRA4,P59901,19,54333185,54339162,1:01,90.56%,8.18,0.00%,0.003214
LILRA5:A6NI73:OID20209:v1,OID20209,LILRA5,Cardiometabolic,LILRA5,A6NI73,19,54307070,54313166,1:10,0.02%,5.08,0.30%,0.003568
LILRA6:Q6PI73:OID30346:v1,OID30346,LILRA6,Cardiometabolic_II,LILRA6,Q6PI73,19,54236592,54242791,1:10,0.62%,4.65,0.00%,0.002006
LILRB1:Q8NHL6:OID20323:v1,OID20323,LILRB1,Cardiometabolic,LILRB1,Q8NHL6,19,54617158,54638022,0.111111111,0.03%,3.85,0.00%,0.003292
LILRB2:Q8N423:OID20301:v1,OID20301,LILRB2,Cardiometabolic,LILRB2,Q8N423,19,54273812,54281184,0.111111111,0.03%,3.82,0.45%,0.004427
LILRB4:Q8NHJ6:OID20429:v1,OID20429,LILRB4,Inflammation,LILRB4,Q8NHJ6,19,54643889,54670359,1:01,0.02%,8.34,0.00%,0.006432
LILRB5:O75023:OID20324:v1,OID20324,LILRB5,Cardiometabolic,LILRB5,O75023,19,54249421,54257301,0.111111111,0.03%,4.37,0.00%,0.003183
LIPF:P07098:OID30266:v1,OID30266,LIPF,Cardiometabolic_II,LIPF,P07098,10,88664441,88678814,1:01,0.05%,5.29,0.00%,0.001108
LMNB1:P20700:OID31501:v1,OID31501,LMNB1,Oncology_II,LMNB1,P20700,5,126776623,126837020,1:01,8.58%,14.88,0.15%,0.018762
LMNB2:Q03252:OID31109:v1,OID31109,LMNB2,Neurology_II,LMNB2,Q03252,19,2427638,2456959,1:01,0.04%,6.63,0.00%,0.006623
LMOD1:P29536:OID30212:v1,OID30212,LMOD1,Cardiometabolic_II,LMOD1,P29536,1,201896456,201946588,1:01,0.05%,6.19,0.00%,0.004231
LMOD1:P29536:OID30547:v1,OID30547,LMOD1,Inflammation_II,LMOD1,P29536,1,201896456,201946588,1:01,0.05%,9.09,0.00%,0.003893
LMOD1:P29536:OID31014:v1,OID31014,LMOD1,Neurology_II,LMOD1,P29536,1,201896456,201946588,1:01,0.05%,5.66,0.00%,0.004176
LMOD1:P29536:OID31416:v1,OID31416,LMOD1,Oncology_II,LMOD1,P29536,1,201896456,201946588,1:01,0.58%,8.49,0.15%,0.004466
LMOD2:Q6P5Q4:OID30864:v1,OID30864,LMOD2,Neurology_II,LMOD2,Q6P5Q4,7,123655866,123664290,1:01,91.29%,10.97,0.00%,0.004071
LONP1:P36776:OID30219:v1,OID30219,LONP1,Cardiometabolic_II,LONP1,P36776,19,5691834,5720572,1:01,0.57%,14.37,0.00%,0.051822
LPA:P08519:OID30747:v1,OID30747,LPA,Inflammation_II,LPA,P08519,6,160531482,160664275,1:100000,0.19%,13.38,2.10%,0.006298
LPCAT2:Q7L5N7:OID21290:v1,OID21290,LPCAT2,Oncology,LPCAT2,Q7L5N7,16,55509072,55586666,1:01,17.58%,5.93,0.00%,0.037454
LPL:P06858:OID20188:v1,OID20188,LPL,Cardiometabolic,LPL,P06858,8,19901717,19967259,1:10,0.02%,6.27,0.00%,0.006612
LPO:P22079:OID20963:v1,OID20963,LPO,Neurology,LPO,P22079,17,58218548,58268518,1:01,0.70%,5.09,2.70%,0.006406
LPP:Q93052:OID30190:v1,OID30190,LPP,Cardiometabolic_II,LPP,Q93052,3,188153284,188890671,1:01,43.03%,7.19,0.00%,0.069816
LRCH4:O75427:OID30191:v1,OID30191,LRCH4,Cardiometabolic_II,LRCH4,O75427,7,100574011,100586129,1:01,0.06%,10.5,0.00%,0.081361
LRFN2:Q9ULH4:OID30895:v1,OID30895,LRFN2,Neurology_II,LRFN2,Q9ULH4,6,40391591,40587364,1:01,93.55%,6.44,0.00%,0.003742
LRG1:P02750:OID30751:v1,OID30751,LRG1,Inflammation_II,LRG1,P02750,19,4536402,4540036,1:100000,0.75%,5.16,0.00%,0.003371
LRIG1:Q96JA1:OID21429:v1,OID21429,LRIG1,Oncology,LRIG1,Q96JA1,3,66378797,66501263,1:01,0.03%,3.31,0.30%,0.004441
LRIG3:Q6UXM1:OID30450:v1,OID30450,LRIG3,Inflammation_II,LRIG3,Q6UXM1,12,58872149,58920504,1:01,85.90%,4.76,0.30%,0.00254
LRP1:Q07954:OID21293:v1,OID21293,LRP1,Oncology,LRP1,Q07954,12,57128483,57213361,1:01,0.03%,4.73,0.00%,0.009919
LRP11:Q86VZ4:OID20185:v1,OID20185,LRP11,Cardiometabolic,LRP11,Q86VZ4,6,149818757,149864359,1:10,0.04%,6.86,0.00%,0.004562
LRP2:P98164:OID30960:v1,OID30960,LRP2,Neurology_II,LRP2,P98164,2,169127109,169362534,1:01,91.23%,8.35,0.00%,0.004962
LRP2BP:Q9P2M1:OID30907:v1,OID30907,LRP2BP,Neurology_II,LRP2BP,Q9P2M1,4,185363872,185395924,1:01,87.09%,7.77,0.00%,0.005682
LRPAP1:P30533:OID21059:v1,OID21059,LRPAP1,Neurology,LRPAP1,P30533,4,3503612,3532446,1:10,0.03%,5.51,0.00%,0.012146
LRRC25:Q8N386:OID21333:v1,OID21333,LRRC25,Oncology,LRRC25,Q8N386,19,18391137,18397622,1:01,0.03%,6.2,0.00%,0.001943
LRRC37A2:A6NM11:OID31440:v1,OID31440,LRRC37A2,Oncology_II,LRRC37A2,A6NM11,17,46511508,46556910,1:01,0.05%,6.08,0.00%,0.003819
LRRC38:Q5VT99:OID30924:v1,OID30924,LRRC38,Neurology_II,LRRC38,Q5VT99,1,13474973,13514003,1:01,62.28%,9.23,0.00%,0.002388
LRRC59:Q96AG4:OID30361:v1,OID30361,LRRC59,Cardiometabolic_II,LRRC59,Q96AG4,17,50375059,50397523,1:10,32.82%,10.19,0.00%,0.048341
LRRFIP1:Q32MZ4:OID31344:v1,OID31344,LRRFIP1,Oncology_II,LRRFIP1,Q32MZ4,2,237627587,237813682,1:01,4.17%,6.86,0.00%,0.114478
LRRN1:Q6UXK5:OID20438:v1,OID20438,LRRN1,Inflammation,LRRN1,Q6UXK5,3,3799431,3849834,1:01,0.00%,6.78,0.00%,0.002618
LRTM1:Q9HBL6:OID30906:v1,OID30906,LRTM1,Neurology_II,LRTM1,Q9HBL6,3,54918231,54967088,1:01,84.93%,7.27,0.00%,0.003028
LRTM2:Q8N967:OID31020:v1,OID31020,LRTM2,Neurology_II,LRTM2,Q8N967,12,1820267,1836753,1:01,0.09%,5.64,0.00%,0.006957
LSM1:O15116:OID21210:v1,OID21210,LSM1,Oncology,LSM1,O15116,8,38163335,38176730,1:01,45.26%,9.85,0.00%,0.011654
LSM8:O95777:OID31269:v1,OID31269,LSM8,Oncology_II,LSM8,O95777,7,118184144,118204035,1:01,68.19%,6.27,0.00%,0.002614
LSP1:P33241:OID20530:v1,OID20530,LSP1,Inflammation,LSP1,P33241,11,1850904,1892267,1:01,0.02%,6.92,0.00%,0.042888
LTA:P01374:OID20586:v1,OID20586,LTA,Inflammation,LTA,P01374,6,31572054,31574324,1:01,0.02%,5.05,0.00%,0.003117
LTA4H:P09960:OID21452:v1,OID21452,LTA4H,Oncology,LTA4H,P09960,12,96000753,96043520,1:01,29.35%,5.84,0.00%,0.123856
LTB:Q06643:OID31383:v1,OID31383,LTB,Oncology_II,LTB,Q06643,6,31580525,31582522,1:01,32.53%,7.91,0.00%,0.003452
LTBP2:Q14767:OID20254:v1,OID20254,LTBP2,Cardiometabolic,LTBP2,Q14767,14,74498183,74612378,0.111111111,0.02%,4.14,0.00%,0.003741
LTBP3:Q9NS15:OID21191:v1,OID21191,LTBP3,Oncology,LTBP3,Q9NS15,11,65538559,65558930,1:01,0.04%,7.89,0.00%,0.003033
LTBR:P36941:OID20768:v1,OID20768,LTBR,Inflammation,LTBR,P36941,12,6375045,6391571,1:10,0.02%,3.81,0.90%,0.003225
LTO1:Q8WV07:OID20434:v1,OID20434,LTO1,Inflammation,LTO1,Q8WV07,11,69653076,69675416,1:01,81.03%,7.33,0.00%,0.00356
LUZP2:Q86TE4:OID31402:v1,OID31402,LUZP2,Oncology_II,LUZP2,Q86TE4,11,24496970,25082638,1:01,0.09%,9.07,0.00%,0.005929
LXN:Q9BS40:OID21003:v1,OID21003,LXN,Neurology,LXN,Q9BS40,3,158645822,158672648,1:01,0.10%,14.56,0.45%,0.032081
LY6D:Q14210:OID20708:v1,OID20708,LY6D,Inflammation,LY6D,Q14210,8,142784882,142786539,1:10,0.28%,5.64,0.90%,0.007725
LY75:O60449:OID20580:v1,OID20580,LY75,Inflammation,LY75,O60449,2,159803355,159904756,1:01,0.02%,5.99,0.00%,0.004323
LY9:Q9HBG7:OID20670:v1,OID20670,LY9,Inflammation,LY9,Q9HBG7,1,160796074,160828261,1:01,0.02%,2.91,2.26%,0.003237
LY96:Q9Y6Y9:OID20945:v1,OID20945,LY96,Neurology,LY96,Q9Y6Y9,8,73991392,74029079,1:01,0.06%,5.99,0.00%,0.003209
LYAR:Q9NX58:OID21264:v1,OID21264,LYAR,Oncology,LYAR,Q9NX58,4,4267701,4290154,1:01,79.34%,8.37,0.00%,0.072609
